organic_core,metal_node,topology,smiles,lcd,pld,density,agsa,co2n2_co2_mol_kg,co2n2_n2_mol_kg,co2ch4_co2_mol_kg,co2ch4_ch4_mol_kg,selfies_safe,mask,train/test,scscore
sym_4_vae_107,sym_13_mc_12,ith,[Lr]C=CC=C[Lr],6.17656,3.77974,0.775358,1475.28,4.318982894,0.702451075,7.43624187,0,TRUE,FALSE,-1,1.665451788
sym_3_vae_561,sym_9_mc_5,spn,[Lr]c1ccc(C2Nc(c(N2)c3cc(C(C)(C)C)c4)c5cc(C(C)(C)C)cc6c7c(NC(c8ccc([Lr])cc8)N7)c4c3c56)cc1,,,,,,,7.032959917,3.680870004,TRUE,FALSE,-1,4.309125239
None,sym_16_mc_6,bcs,[Lr]C#Cc1cn([Lr])nc1,6.8791,4.83575,0.798317,1654.4,5.66494343,0.53972258,6.021092947,4.367284911,TRUE,TRUE,1,2.119696679
None,sym_16_mc_6,bcs,[Lr]c1[nH]c2c(n1)cc1c(c2)[nH]c(n1)[Lr],7.36406,5.83655,0.788965,2548.75,4.96408206,0.550367437,5.837664166,4.698569835,TRUE,TRUE,1,3.500212883
sym_4_on_6,sym_13_mc_12,ith,[Lr]c1cc2ccc3c4c2c(c1)ccc4cc(c3)[Lr],7.20731,3.78791,0.889541,1681.17,3.198455785,0.467699785,5.8048913,0,TRUE,FALSE,-1,3.565568537
sym_4_vae_153,sym_13_mc_12,ith,[Lr]n1cc(ccc(cn([Lr])c2)c3c2cc4)c3c4c1,7.54402,3.77604,0.887694,1831.94,2.846944238,0.463557903,5.69000673,0,TRUE,FALSE,-1,3.305620905
sym_4_vae_153,sym_13_mc_12,ith,[Lr]c(c1)cc2c(=O)oc3cc([Lr])cc4c3c2c1oc4=O,7.34426,4.31764,0.994306,1596.65,4.646847628,0.258974101,5.562671005,2.091815229,TRUE,TRUE,0,3.145289611
sym_4_vae_153,sym_13_mc_12,ith,[Lr]c1ccc2c(c1)ccc(c2)[Lr],6.46201,3.32067,0.954877,963.805,3.865888951,0.000443109,5.550905023,7.23E-05,TRUE,FALSE,-1,2.479793891
sym_4_vae_645,sym_13_mc_12,ith,[Lr]n1cc(ccc(cn([Lr])c2)c3c2cc4)c3c4c1,7.91151,3.74388,0.918102,1810.42,2.44344052,0.438278334,5.516855196,0,TRUE,FALSE,-1,3.305620905
sym_4_on_6,sym_13_mc_12,ith,[Lr]c(c1)cc2c(=O)oc3cc([Lr])cc4c3c2c1oc4=O,6.82782,4.09729,1.05576,1302.24,4.94183885,0.184885091,5.484785482,1.53770207,TRUE,TRUE,1,3.145289611
sym_4_on_7,sym_13_mc_12,ith,[Lr]C1=CC2=C(C=C([Lr])[SH]2)[SH]1,7.39297,3.78738,1.04869,1373.53,2.92823108,0.411429364,5.481958125,0,TRUE,FALSE,-1,2.223989002
sym_4_on_6,sym_16_mc_6,gar,[Lr]c1[nH]c([Lr])nn1,5.17443,3.46875,1.18728,744.878,4.795994641,8.52E-05,5.459007884,0,TRUE,FALSE,-1,1.467224523
sym_4_on_6,sym_13_mc_12,ith,[Lr]n1cc(ccc(cn([Lr])c2)c3c2cc4)c3c4c1,7.05966,3.45471,0.935192,1580.81,3.277522521,0,5.438150949,0,TRUE,FALSE,-1,3.305620905
sym_4_vae_645,sym_13_mc_12,ith,[Lr]c(c1)cc2c(=O)oc3cc([Lr])cc4c3c2c1oc4=O,7.47386,4.30549,1.02037,1599.44,4.355738815,0.26361289,5.373192935,2.122211195,TRUE,TRUE,1,3.145289611
None,sym_16_mc_6,bcs,[Lr]c1ccc2c(c1)oc1c2ccc(c1)[Lr],8.82879,5.79221,0.73217,2845.66,4.283395462,0.655791913,5.264627391,5.95544909,TRUE,TRUE,1,3.210211311
sym_4_on_6,sym_13_mc_12,ith,[Lr]c1cc(C(c2cc([Lr])ccc2C3=O)=O)c3cc1,7.50781,3.73545,1.0003,1161.63,2.819101171,0.290989941,5.102740134,0,TRUE,FALSE,-1,2.903207262
None,sym_16_mc_6,bcs,[Lr]C1=Cc2cc3=CC([Lr])=Cc3cc2=C1,7.85215,5.50304,0.73792,2489.1,4.54370636,0.66439573,5.04669864,5.755565141,TRUE,TRUE,1,3.19835901
None,sym_16_mc_6,bcs,[Lr]c1ccc(nc1)c1ccc(cn1)[Lr],9.11791,7.27547,0.649903,3416.05,2.653113422,0.608682048,5.040352225,6.510557741,TRUE,TRUE,1,2.666385841
None,sym_16_mc_6,bcs,[Lr]c1ccc(nc1)c1ccc(cn1)[Lr],9.16787,7.19771,0.646572,3521.31,2.654379806,0.615897797,5.011515613,6.557044576,TRUE,TRUE,1,2.666385841
None,sym_16_mc_6,bcs,[Lr]c1cc2c(=O)c3ccc([Lr])cc3[nH]c2cc1,8.33342,5.56514,0.735588,2787.82,3.914256401,0.615132836,5.004668592,5.546515473,TRUE,TRUE,1,3.176150078
None,sym_16_mc_6,bcs,[Lr]c1ccc2c(c1)ccc1c2ccc(c1)[Lr],8.83939,5.89122,0.688374,3023,3.853054165,0.720050651,4.890031527,6.806994324,TRUE,TRUE,1,3.484933211
None,sym_16_mc_6,bcs,[Lr]c1cc2[nH]c3cc([Lr])ccc3c2cc1,8.17183,6.13897,0.789165,2071.39,4.417451873,0.521070139,4.888009218,4.659083688,TRUE,TRUE,1,2.975424748
None,sym_16_mc_6,bcs,O=C1c2c(c3ccc([Lr])cc31)ccc([Lr])c2,7.93565,6.20835,0.745514,2611.15,3.917374474,0.628147443,4.853462465,5.592242231,TRUE,TRUE,1,3.01227979
sym_4_on_6,sym_16_mc_6,gar,[Lr]n1cc([Lr])nn1,5.01636,3.44649,1.2219,645.522,4.391241247,0,4.838888814,0,TRUE,FALSE,-1,1.579602137
sym_4_vae_645,sym_13_mc_12,ith,[Lr]c1ccc2c(c1)ccc(c2)[Lr],6.30466,3.40016,1.01272,1092.96,3.293181659,0,4.828333334,0,TRUE,FALSE,-1,2.479793891
sym_4_on_6,sym_16_mc_6,gar,[Lr]C=CC=C[Lr],8.26142,5.47752,0.577117,3607.12,2.566803337,0.768693072,4.808541855,8.232655265,TRUE,TRUE,1,1.665451788
sym_4_on_6,sym_16_mc_6,gar,[Lr]c1nc([Lr])n[nH]1,5.28217,3.3377,1.21559,151.231,4.194276034,7.10E-05,4.798466027,0.00269864,TRUE,TRUE,1,1.264928031
None,sym_16_mc_6,bcs,[Lr]n1cc(c2cn([Lr])nc2)cn1,7.03039,4.73277,0.844824,1882.22,4.754297578,0.481282065,4.78816255,4.229394221,TRUE,TRUE,1,2.006251072
sym_4_on_8,sym_13_mc_12,ith,[Lr]c1sc([Lr])cc1,6.7558,3.58127,1.0867,1027.16,3.629462076,0,4.668144866,0,TRUE,FALSE,-1,1.406423867
sym_4_vae_153,sym_13_mc_12,ith,[Lr]c1cc(CC2)c3c(CCc4cc([Lr])cc2c43)c1,7.69128,3.59939,0.850395,1708.43,2.444897442,0,4.665843047,0,TRUE,FALSE,-1,3.766457726
None,sym_16_mc_6,bcs,[Lr]n(c(=O)c(c1cc23)cc2c(=O)n([Lr])c3=O)c1=O,8.22328,5.71965,0.901866,2054.11,3.275798826,0.43649257,4.633013483,3.946949154,TRUE,TRUE,1,2.219545358
None,sym_16_mc_6,bcs,[Lr]c1cc(C(c2cc([Lr])ccc2C3=O)=O)c3cc1,8.53311,5.08862,0.85775,1766.42,4.114159746,0.432676023,4.561211671,3.834680517,TRUE,TRUE,1,2.903207262
sym_4_on_7,sym_13_mc_12,ith,[Lr]c(c1)cc2c(=O)oc3cc([Lr])cc4c3c2c1oc4=O,9.17862,5.13846,0.831528,2441.55,2.382899473,0.354590414,4.534289383,3.698131315,TRUE,TRUE,1,3.145289611
None,sym_16_mc_6,bcs,[Lr]c1ccc2c(c1)ccc(c2)[Lr],6.22717,3.96598,0.879509,919.841,5.646205618,0.346960132,4.521027569,3.515020744,TRUE,TRUE,1,2.479793891
sym_4_on_8,sym_13_mc_12,ith,[Lr]C12C=CC(C=C1)(C=C2)[Lr],6.51523,3.57433,0.996335,860.514,3.157465165,0,4.51785093,6.92E-05,TRUE,FALSE,-1,1.831772347
